   1 25
 21
  0 0.1                       D+01
  1 0.1                       D+01
  2 0.2                       D+01
  3 0.6                       D+01
  4 0.24                      D+02
  5 0.120                     D+03
  6 0.720                     D+03
  7 0.5040                    D+04
  8 0.40320                   D+05
  9 0.362880                  D+06
 10 0.3628800                 D+07
 11 0.39916800                D+08
 12 0.479001600               D+09
 13 0.6227020800              D+10
 14 0.87178291200             D+11
 15 0.1307674368000           D+13
 16 0.20922789888000          D+14
 17 0.355687428096000         D+15
 18 0.6402373705728000        D+16
 19 0.121645100408832000      D+18
 20 0.2432902008176640000     D+19
    5 0.928014622882212441569162D-02    6-0.274278398274454949923444D-02
    7-0.110316537908566363381999D-01    8 0.267873000107133816882234D-02
    9 0.124425427362923281323694D-01   10-0.242280168108019675676323D-02
   11-0.135685963070100920576376D-01   12 0.202364929932286714363455D-02
   13 0.144333603975456944961702D-01   14-0.151862227516014912975546D-02
   15-0.150471412893051193559149D-01   16 0.940101606439724227556903D-03
   17 0.154143159801935833940985D-01   18-0.318159325461822687273065D-03
   19-0.155365665873962919282188D-01
   19
    1 0.322085258229624301694424D-02    2-0.169699079069111088490312D-02
    3-0.633462247885535921182938D-02    4 0.231657821221349300132933D-02
    5 0.836028747734778306925745D-02    6-0.253150214569827650512871D-02
    7-0.994853103643393643505127D-02    8 0.250843405914438251409750D-02
    9 0.112404267892606088641423D-01   10-0.231585185335315127517818D-02
   11-0.122881363381412326528999D-01   12 0.199528307799730653554516D-02
   13 0.131143184126873520636191D-01   14-0.157789194561482794542891D-02
   15-0.137293082887862991392853D-01   16 0.109019854431254788724477D-02
   17 0.141377607090837741054262D-01   18-0.556493702550239220721238D-03
   19-0.143416408996797667791840D-01   20 0.0
   20
    1 0.291644464860572578363048D-02    2-0.154482667882754672923926D-02
    3-0.573427930462393363695517D-02    4 0.212346601779441703387500D-02
    5 0.757007239996416445319668D-02    6-0.234193451873002681993431D-02
    7-0.901587900463251900752031D-02    8 0.234950404784695729405625D-02
    9 0.102014227237387785321131D-01   10-0.220657614572530091278233D-02
   11-0.111754599611376451598355D-01   12 0.194904060914751274731101D-02
   13 0.119596852883793520970394D-01   14-0.160327064140131018012944D-02
   15-0.125643374073678025249343D-01   16 0.119130867807233689220363D-02
   17 0.129942526183673717188508D-01   18-0.733066961612389394184639D-03
   19-0.132516194268874796712380D-01   20 0.247387903647973579401398D-03
   21 0.133373302307627278100289D-01
   21
    1 0.265323150062317354285685D-02    2-0.141219377533847919408784D-02
    3-0.521528012051594963282722D-02    4 0.195313053044052478977459D-02
    5 0.688634125872454331277186D-02    6-0.217157473830057091182547D-02
    7-0.820732530890971035858628D-02    8 0.220204089013836461531720D-02
    9 0.929782996931523269276385D-02   10-0.209825401517718416258261D-02
   11-0.102034374865164410203349D-01   12 0.189156811259563060281228D-02
   13 0.109448460936363317944565D-01   14-0.160458295009163066448312D-02
   15-0.115321069645445353185966D-01   16 0.125586399310861356746574D-02
   17 0.119701583419408359941406D-01   18-0.861953873882999113908843D-03
   19-0.122613606730609202028297D-01   20 0.438345535702394054674654D-03
   21 0.124067671061984638635690D-01   22 0.0
   22
    1 0.242410296159771144414024D-02    2-0.129589590336614310780638D-02
    3-0.476358597192121688359081D-02    4 0.180219638657166654907885D-02
    5 0.629086301712996423396854D-02    6-0.201816916749128279643455D-02
    7-0.750197834133502835846311D-02    8 0.206569469483386680052941D-02
    9 0.850747545014392876895859D-02   10-0.199290924262770664952541D-02
   11-0.934999421566996851032218D-02   12 0.182746392510031110704714D-02
   13 0.100492349582007690494281D-01   14-0.158894116105581428517069D-02
   15-0.106149977385998645933307D-01   16 0.129316599926570349658121D-02
   17 0.110522584915645332192408D-01   18-0.954050005571215075540893D-03
   19-0.113635045106098829493965D-01   20 0.584487235656014693057656D-03
   21 0.115499203453692483320000D-01   22-0.196830707306853886276391D-03
   23-0.116120129997574811961209D-01
   23
    1 0.222341902389582294604997D-02    2-0.119336315906842253433427D-02
    3-0.436805721551994221268081D-02    4 0.166787593494972093275080D-02
    5 0.576913310348345070443673D-02    6-0.187972151756097869826267D-02
    7-0.688312799895311826506568D-02    8 0.193987405148673341921894D-02
    9 0.781246929733467510740496D-02   10-0.189173968745954930013231D-02
   11-0.859707885673044819621499D-02   12 0.175990683674050338562523D-02
   13 0.925567786834357156440928D-02   14-0.156151165482170741478102D-02
   15-0.979777282787169236624686D-02   16 0.131018956928835152724031D-02
   17 0.102283267338211748559007D-01   18-0.101777020390816026169283D-02
   19-0.105499145922707649107133D-01   20 0.695104368577114948020543D-03
   21 0.107638272487661535989609D-01   22-0.352504854922175301991265D-03
   23-0.108706675787417675086393D-01   24 0.0
   24
    1 0.204665963639514210908128D-02    2-0.110251062372487985051270D-02
    3-0.401976440211104305892187D-02    4 0.154785439876405006557504D-02
    5 0.530949861986940602395415D-02    6-0.175447861670826987683979D-02
    7-0.633728855224808577699130D-02    8 0.182387261852913691429121D-02
    9 0.719826730195813226340019D-02   10-0.179539980457124954495798D-02
   11-0.792985112528907714980468D-02   12 0.169108549198425092147917D-02
   13 0.854981393522291905203144D-02   14-0.152605748519463646572697D-02
   15-0.906734223076546669285042D-02   16 0.131217952698483972172002D-02
   17 0.948734707614157791612827D-02   18-0.105961345278891329819599D-02
   19-0.981245792019818117557539D-02   20 0.777584192570993656063617D-03
   21 0.100440494226695676013533D-01   22-0.474788893606344907818411D-03
   23-0.101828046762238242858526D-01   24 0.159631533598449394608078D-03
   25 0.102290280574830128886358D-01
   25
    1 0.189016808351792505082484D-02    2-0.102163280840412046471956D-02
    3-0.371148274632995771628514D-02    4 0.144019928440473443748228D-02
